StockID,TrackerID
MMM,1
ACE,1
ABT,1
ANF,1
ACN,1
ADBE,1
AMD,1
AES,1
AET,1
AFL,1
A,1
GAS,1
APD,1
ARG,1
AKAM,1
AA,1
ALXN,1
ATI,1
AGN,1
ALL,1
ANR,1
ALTR,1
MO,1
AMZN,1
AEE,1
AEP,1
AXP,1
AIG,1
AMT,1
AMP,1
ABC,1
AMGN,1
APH,1
APC,1
ADI,1
AON,1
APA,1
AIV,1
APOL,1
AAPL,1
AMAT,1
ADM,1
AIZ,1
T,1
ADSK,1
ADP,1
AN,1
AZO,1
AVB,1
AVY,1
AVP,1
BHI,1
BLL,1
BAC,1
BK,1
BCR,1
BAX,1
BBT,1
BEAM,1
BDX,1
BBBY,1
BMS,1
BRK.B,1
BBY,1
BIG,1
BIIB,1
BLK,1
HRB,1
BMC,1
BA,1
BWA,1
BXP,1
BSX,1
BMY,1
BRCM,1
BF.B,1
CHRW,1
CA,1
CVC,1
COG,1
CAM,1
CPB,1
COF,1
CAH,1
CFN,1
KMX,1
CCL,1
CAT,1
CBG,1
CBS,1
CELG,1
CNP,1
CTL,1
CERN,1
CF,1
SCHW,1
CHK,1
CVX,1
CMG,1
CB,1
CI,1
CINF,1
CTAS,1
CSCO,1
C,1
CTXS,1
CLF,1
CLX,1
CME,1
CMS,1
COH,1
KO,1
CCE,1
CTSH,1
CL,1
CMCSA,1
CMA,1
CSC,1
CAG,1
COP,1
CNX,1
ED,1
STZ,1
CBE,1
GLW,1
COST,1
CVH,1
COV,1
CCI,1
CSX,1
CMI,1
CVS,1
DHI,1
DHR,1
DRI,1
DVA,1
DF,1
DE,1
DELL,1
DNR,1
XRAY,1
DVN,1
DV,1
DO,1
DTV,1
DFS,1
DISCA,1
DLTR,1
D,1
RRD,1
DOV,1
DOW,1
DPS,1
DTE,1
DD,1
DUK,1
DNB,1
ETFC,1
EMN,1
ETN,1
EBAY,1
ECL,1
EIX,1
EW,1
EA,1
EMC,1
EMR,1
ESV,1
ETR,1
EOG,1
EQT,1
EFX,1
EQR,1
EL,1
EXC,1
EXPE,1
EXPD,1
ESRX,1
XOM,1
FFIV,1
FDO,1
FAST,1
FII,1
FDX,1
FIS,1
FITB,1
FHN,1
FSLR,1
FE,1
FISV,1
FLIR,1
FLS,1
FLR,1
FMC,1
FTI,1
F,1
FRX,1
FOSL,1
BEN,1
FCX,1
FTR,1
GME,1
GCI,1
GPS,1
GD,1
GE,1
GIS,1
GPC,1
GNW,1
GILD,1
GS,1
GT,1
GOOG,1
GWW,1
HAL,1
HOG,1
HAR,1
HRS,1
HIG,1
HAS,1
HCP,1
HCN,1
HNZ,1
HP,1
HES,1
HPQ,1
HD,1
HON,1
HRL,1
HSP,1
HST,1
HCBK,1
HUM,1
HBAN,1
ITW,1
IR,1
TEG,1
INTC,1
ICE,1
IBM,1
IFF,1
IGT,1
IP,1
IPG,1
INTU,1
ISRG,1
IVZ,1
IRM,1
JBL,1
JEC,1
JDSU,1
JNJ,1
JCI,1
JOY,1
JPM,1
JNPR,1
K,1
KEY,1
KMB,1
KIM,1
KMI,1
KLAC,1
KSS,1
KFT,1
KR,1
LLL,1
LH,1
LRCX,1
LM,1
LEG,1
LEN,1
LUK,1
LXK,1
LIFE,1
LLY,1
LTD,1
LNC,1
LLTC,1
LMT,1
L,1
LO,1
LOW,1
LSI,1
MTB,1
M,1
MRO,1
MPC,1
MAR,1
MMC,1
MAS,1
MA,1
MAT,1
MKC,1
MCD,1
MHP,1
MCK,1
MJN,1
MWV,1
MDT,1
MRK,1
MET,1
PCS,1
MCHP,1
MU,1
MSFT,1
MOLX,1
TAP,1
MON,1
MNST,1
MCO,1
MS,1
MOS,1
MSI,1
MUR,1
MYL,1
NBR,1
NDAQ,1
NOV,1
NTAP,1
NFLX,1
NWL,1
NFX,1
NEM,1
NWSA,1
NEE,1
NKE,1
NI,1
NE,1
NBL,1
JWN,1
NSC,1
NTRS,1
NOC,1
NU,1
NRG,1
NUE,1
NVDA,1
NYX,1
ORLY,1
OXY,1
OMC,1
OKE,1
ORCL,1
OI,1
PCAR,1
PLL,1
PH,1
PDCO,1
PAYX,1
BTU,1
JCP,1
PBCT,1
POM,1
PEP,1
PKI,1
PRGO,1
PFE,1
PCG,1
PM,1
PSX,1
PNW,1
PXD,1
PBI,1
PCL,1
PNC,1
RL,1
PPG,1
PPL,1
PX,1
PCP,1
PCLN,1
PFG,1
PG,1
PGR,1
PLD,1
PRU,1
PEG,1
PSA,1
PHM,1
QEP,1
PWR,1
QCOM,1
DGX,1
RRC,1
RTN,1
RHT,1
RF,1
RSG,1
RAI,1
RHI,1
ROK,1
COL,1
ROP,1
ROST,1
RDC,1
R,1
SWY,1
SAI,1
CRM,1
SNDK,1
SCG,1
SLB,1
SNI,1
STX,1
SEE,1
SHLD,1
SRE,1
SHW,1
SIAL,1
SPG,1
SLM,1
SJM,1
SNA,1
SO,1
LUV,1
SWN,1
SE,1
S,1
STJ,1
SWK,1
SPLS,1
SBUX,1
HOT,1
STT,1
SRCL,1
SYK,1
SUN,1
STI,1
SYMC,1
SYY,1
TROW,1
TGT,1
TEL,1
TE,1
THC,1
TDC,1
TER,1
TSO,1
TXN,1
TXT,1
HSY,1
TRV,1
TMO,1
TIF,1
TWX,1
TWC,1
TIE,1
TJX,1
TMK,1
TSS,1
TRIP,1
TSN,1
TYC,1
USB,1
UNP,1
UNH,1
UPS,1
X,1
UTX,1
UNM,1
URBN,1
VFC,1
VLO,1
VAR,1
VTR,1
VRSN,1
VZ,1
VIAB,1
V,1
VNO,1
VMC,1
WMT,1
WAG,1
DIS,1
WPO,1
WM,1
WAT,1
WPI,1
WLP,1
WFC,1
WDC,1
WU,1
WY,1
WHR,1
WFM,1
WMB,1
WIN,1
WEC,1
WPX,1
WYN,1
WYNN,1
XEL,1
XRX,1
XLNX,1
XL,1
XYL,1
YHOO,1
YUM,1
ZMH,1
ZION,1
